X	Y	M
-0.7210807496670181	0.9495112387102072	P
-1.4897433998897327	2.172994062933369	s
-1.2841118359404837	1.4124143721915978	v
-0.845681456653003	5.228838265953921	p
-0.48744121561836123	4.15629406362527	v
-1.8246670440665655	-1.9970387530412856	*
-2.7899733588653604	0.8632536679425685	p
-0.8490297154268209	-0.3309307138412733	P
0.1432143975786924	0.04319999784020729	<
2.4638466121794353	0.4648424862223031	8
3.5497048316806397	0.12441534145784172	v
1.8470009971068655	-3.480862317121206	<
-2.653369382106166	2.952330578021482	^
-3.9826429941105213	2.0252856908011916	<
0.14493112572000225	-0.34413628205030833	s
-1.5153729573291912	1.5423754587209846	v
-3.2654242848011186	-1.16495703700664	8
-0.6124567900235728	-3.6846978494212173	*
-0.11496128098817252	0.23743289002815912	^
2.3520064415477577	-0.4691825325562515	o
0.08145420031656474	0.5408381017113654	P
-0.043961199332860044	-3.104675804383676	.
-1.0263983838721409	0.7734022843649015	o
1.1725272196939505	-0.7040460037743529	*
-0.31732333334048385	1.5617661689349553	*
0.21385061483911685	-0.8925570295973253	P
0.317363208952973	-1.1930562309987853	*
-0.9092519836436923	-0.6383193032321544	.
0.4276292075445986	0.10724467736920137	*
-1.7541236369906137	1.0013374724172237	v
