A	B
2.8162525463454435	5.0320415582480535
1.3203433537673426	4.1890747445989875
2.445715164074719	4.247966464271473
1.6627674964367833	5.685939182606703
0.154697269307299	6.151744013895724
2.5231965697761605	8.05401433477677
4.2992690879956115	4.478057214720343
2.1492674587004545	5.9790009007980105
0.050845099323980625	7.64739573012529
2.056977961705356	5.134061709063742
1.3735872885581708	8.021618445319948
2.1154048111606434	7.689582151798461
1.5173402390424413	6.721279325418416
1.6472571629798356	5.017467700820234
3.8727179665295823	8.064688701863261
3.0669607146988467	8.00840228878213
4.7330402440287	6.600643747995406
1.5407982709154722	5.101814484201144
3.8752098427482213	7.146465303504478
0.6118960492730185	8.632024725945982
1.0532493730881554	5.33572577695069
3.088397963652185	4.162246333671334
3.9877614579732206	6.02797067034221
0.9769591948428907	4.688987569269661
2.4518049593963642	4.871413968984348
2.025862821677322	8.799620939631893
1.6516466018963272	8.431302418769604
4.210430342146597	5.097458171094122
2.9223549972555785	6.318385357670811
4.8686155521062116	5.373209698861235
1.2872679254508705	4.178364149604966
1.1742028713605712	8.867481131138653
4.381635984347511	5.96548883660674
2.2535931483062925	5.565698619661518
2.759733021089792	6.198882495754299
2.511723905309127	4.241699823974402
1.8040398550522947	6.848133013774593
1.7331253242642886	6.67787613006126
2.908974137133388	5.256269081758657
3.104534121179775	7.320960054287333
4.954772588342159	8.031874783626353
4.2684875215172475	5.882262753858191
2.238956058379496	6.654129138824173
2.7862343736533006	5.744176873408046
1.1239943035371003	7.931444076554172
0.6381223425720217	5.568008711462992
4.287105639781804	8.543417960934468
1.384264243412558	8.116234718643465
0.43474657127957395	5.729091857200702
0.6973094254245926	5.8952525066490455
2.9738683419351086	5.673641563937725
4.574796020733383	8.215078531225215
3.060081443143266	8.308674222058702
0.6805078983373114	4.619321572220138
0.5242609079231542	7.301475847135196
0.7372155707708572	4.975308092474173
2.72462381840538	7.970873083555582
0.37775049702739816	7.2848482293256165
2.678644335800158	4.6426242581999855
1.1093891258628013	7.540604678634255
2.180861945339156	8.285655260051232
2.187965300024252	4.090551169830491
0.2247999013676849	5.775532739352279
1.5456866022210907	6.566894325894317
1.218774552923867	6.444023755924203
3.1695664433813238	6.631140688459986
0.45326796493943333	4.451702674025898
0.18743291165706777	5.614484846214673
3.4122884702349854	4.575772338241324
1.975204772830642	5.707414233671244
2.0874663820104016	5.892804966068289
1.725834076540369	5.5638252399180725
2.9860464857158613	5.642898510695247
2.2091288224895917	5.989572261546688
2.7567764180768926	6.198802775850808
0.042788052717526726	4.749401210152797
2.408400032784593	8.05042107774053
1.5347055280518336	6.553347444943678
3.0895647647388715	7.402037540745225
4.354982333556683	8.669825674126422
1.0507540331439191	5.3425056989425945
2.3884459737676105	4.843688589131469
3.9119457721997835	7.355978332187133
1.1313925161499883	6.717595187844154
4.753592908256687	6.185161140771967
1.6187161744271013	4.361586192902285
4.4985157445619	6.428254520036728
2.3938021505234626	7.848053913770704
3.4935421476545834	8.394045830638987
4.619340742070513	6.932393297313922
3.044169373239588	6.9077140609339995
0.766774296563979	4.237207363051441
0.09652958729871541	4.895729748730179
3.2928980625344186	8.78781555799193
4.462765716049642	8.658348059977392
2.755903404254605	4.144162680627531
4.534159607262273	8.411096399708729
1.287371757491469	4.365240916173624
1.2262528656017557	5.135953595065202
4.51543605673086	7.219712741862366
3.3731056348092214	4.024862279567898
1.6513134968798755	8.896711565189833
3.0498870910851243	5.451479353950715
0.12729167206502634	8.378301627582088
1.8268712384305625	8.829962811171544
2.446786186588085	5.674757403146208
1.4078873579441482	6.006847585852231
4.066808613139402	5.230440586123453
1.0600787580470183	7.273373042571614
1.8240178421306759	7.149800226029784
0.14120010229429714	6.315731842736858
2.2157826431670884	8.640297728298295
4.31395988512006	8.252888087818405
2.1501655408615905	5.883611695603535
3.3420952755846267	4.609584675120304
0.44133966887310305	7.957231966655853
1.948257467485185	8.229460867671586
1.0331104107280091	8.495639985185257
2.001701591452352	5.73084920222557
4.417988765415447	5.694069250696923
2.3641042493079345	5.376639044373
4.036502262876689	6.860118652968648
2.8797361919601827	8.017065495831762
4.635468907932016	5.238108250719591
2.773048265804612	7.266901293244887
2.2619210813656876	8.046592758798303
2.0113861711028362	5.3547741859477265
2.48348532009636	4.959924292440864
0.36473403198162446	5.592659804892982
4.923299990966479	4.867623097534601
2.3485065693202816	4.001199841986123
4.877498918968142	8.759476439755286
0.3911274674135634	7.4735830383268596
3.194988539557796	7.945570253421526
0.9044306112727685	8.248370353024804
0.3453325332631896	4.790118316447092
3.5897672441796544	4.275790142386793
1.9686121960482517	6.319158264147052
1.0622741624936523	5.3717641962059455
2.7581859071453274	4.722099209850299
2.4678305151333664	8.027641337203018
0.5642588619708644	4.042835984138705
0.7598803124887188	4.114671739894228
2.7094894165233887	4.555675979148552
1.8619151681375539	5.761197667838887
2.10850464483335	8.074496636413727
1.1334994323388803	6.165191551343648
4.045170805350588	5.956675001737332
1.7849592821100035	4.4707033076552065
4.019131062323619	4.241493125331395
1.7839355526995326	7.055380739587704
1.382754856661581	7.090100235752152
0.3867672372599634	6.955700691017862
3.638824064722744	8.852256416729274
2.168643111009403	7.095735513802451
3.8905977418557924	6.071760696450959
4.911603534321035	6.800800809058863
4.467100479172355	6.3963004629253915
1.2094910591105417	5.124356195902481
2.2968540852702284	6.508968736171032
1.4743079931267677	6.614780505284475
0.6918705340217307	4.091426854673843
3.5836566286930758	7.294626795567979
0.4955955916544269	4.991400589596165
3.48163476798073	5.036943016566158
1.0743330672273506	6.306254293599985
2.5237197101647277	7.931049695933201
2.7293545112973314	6.727630463927698
1.9907538082654963	4.805514244145232
3.277477407446442	7.747901385535408
0.33185828601916156	7.344381892442394
0.05159328353921244	6.4894743686845
1.982743557681984	6.565886714977563
0.16486466629270724	4.302829638424312
2.1949165635340337	6.807951178281859
4.4810989823269125	5.190727385266548
1.2047722495094282	8.349380294608862
0.8975229533740181	6.188886837994824
1.7280197079960118	5.94320476748147
3.4200759265951786	6.26516020373289
0.17438759551878957	6.001498635901059
1.2504454995707563	5.143595750547029
1.7301600758075542	7.116152787076809
1.686644780043216	5.536539867749537
4.092075767410493	5.2728323470598175
1.4893527904814396	5.164504721470091
0.06351205554985417	6.624858469441598
4.408768384588035	4.183130149660054
3.345790216015643	8.441698272550564
2.666178907971503	5.012072009117437
4.339326034894669	6.950825524680434
0.6154217811030127	5.689095768368624
0.8171737525770062	6.956011241883978
1.5443180935744605	5.926497521703636
3.9479410483964763	7.888291974319529
1.8929624017166535	5.572564266027152
0.3826748915799266	5.591957378142733
3.8843751613111417	6.364990173428336
3.7382365275092284	5.562874240470679
2.505104660399444	7.728376840954997
1.9131237771194005	4.441442531103274
0.27219914738809303	4.033237951156398
2.5753086996723473	5.505022844956099
3.1384700260095633	7.102020992181203
4.388597037384478	6.813465738720398
1.3131428554401374	4.273705563452565
2.782782575048013	8.462082027372833
